run_dir,model_id,quant,gen.max_new_tokens,n_samples,encode_mean_s,generate_mean_s,decode_mean_s,total_mean_s,tok_s_mean,samples_per_s
outputs/bench_hydra/20251029_150932,llava-hf/llava-onevision-qwen2-0.5b-ov-hf,bf16,256,4,0.06229519325,3.86812906275,0.0006253615,3.9310496175000003,14.909271436945293,0.2543849855133506
outputs/bench_hydra/20251029_151022,llava-hf/llava-onevision-qwen2-0.5b-ov-hf,bnb8,256,4,0.0600147505,9.7588059925,0.0005921075,9.8194128505,5.166330993049163,0.10183908297012693
outputs/bench_hydra/20251029_150729,llava-hf/llava-onevision-qwen2-0.5b-ov-hf,fp16,256,4,0.06371521425,3.85763461425,0.0006241335,3.921973962,14.933866953775118,0.25497364584492366
